id,session_id,ts,type,payload
35,6a85b53107a8469e8283b310b528b740,"2025-07-16 18:02:03.259391",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
36,7cb5a9cf77d64efd9c128152c3849019,"2025-07-16 18:02:05.557174",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
37,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:08.545363",audio_play,{}
38,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:42.775658",audio_seek,"{""to"": 46.27313254970326}"
39,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:42.777712",audio_seek,"{""to"": 68.4371807353145}"
40,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:42.779160",audio_seek,"{""to"": 92.39985786092757}"
41,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:45.934683",audio_seek,"{""to"": 110.41618483582029}"
42,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:45.936520",audio_seek,"{""to"": 120.54357154138987}"
43,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:52.567709",audio_play,{}
44,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:52.569759",audio_pause,{}
45,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:52.571008",audio_play,{}
46,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:52.572185",audio_pause,{}
47,6c257197121d40e6a371aefd03145196,"2025-07-16 18:02:55.006674",regenerate,"{""folder"": ""20250716_135740_a9334b"", ""prompt_len"": 229, ""lyrics_len"": 438}"
48,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:02:58.003888",regenerate_click,"{""folder"": ""20250716_135740_a9334b""}"
49,b61254410a9248fda4c6c9674c180d47,"2025-07-16 18:04:15.734833",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
50,d3014a3ff5f54f0c9defeb0300e37576,"2025-07-16 18:04:15.747525",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
51,22901571cbba4ecd90276456cfd982b9,"2025-07-16 18:09:56.305686",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
52,1ae9721f33ea406481ab83801b7e294d,"2025-07-16 18:09:56.310886",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
53,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:09:59.297310",audio_play,{}
54,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:02.370624",audio_seek,"{""to"": 11.372863805107576}"
55,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:02.371723",audio_seek,"{""to"": 19.929881957358457}"
56,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:02.372441",audio_seek,"{""to"": 26.84252436092758}"
57,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:02.373006",audio_seek,"{""to"": 36.695672884405056}"
58,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:05.934703",audio_seek,"{""to"": 80.96093483783312}"
59,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:05.936885",audio_seek,"{""to"": 100.17586293359683}"
60,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:05.939065",audio_seek,"{""to"": 116.81285431471066}"
61,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:10:05.940231",audio_pause,{}
62,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:12:28.732385",activity_ping,{}
63,3167816f262d4706a86725a32a333529,"2025-07-16 18:14:20.902330",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
64,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:14:23.906575",audio_play,{}
65,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:14:37.433514",audio_pause,{}
66,1bcbd70668cb46848213f31afa5759d2,"2025-07-16 18:20:53.065738",fetch_output,"{""path"": ""20250716_135740_a9334b/audio.wav""}"
67,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:21:02.684138",toggle_music,"{""value"": false}"
68,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:21:02.687374",toggle_images,"{""value"": false}"
69,b0b30bccdb42478891518b671ddaf50a,"2025-07-16 18:21:08.625827",generate,"{""modes"": ""tags"", ""folder"": ""20250716_142103_36f034"", ""latency"": 5.065231042099185}"
70,dd56cea0-e7b8-43ad-89b4-503fab52be37,"2025-07-16 18:21:08.633783",generate_click,"{""modes"": ""tags"", ""language"": ""en""}"
